Time in simulation	Time/Label
29.14398	29.14398
40.47159	140.47159
23.31962	223.31962
30.01813	330.01813
32.61904	432.61904
35.11	535.11
27.7358	627.7358
35.07238	735.07238
29.47201	829.47201
29.3039	929.3039
31.9056	1031.9056
41.44876	1141.44876
33.08687	1233.08687
23.64289	1323.64289
32.01734	1432.01734
36.54676	1536.54676
31.85862	1631.85862
32.72012	1732.72012
36.42902	1836.42902
31.02752	1931.02752
33.63948	2033.63948
31.24168	2131.24168
33.2676	2233.2676
28.27697	2328.27697
44.05051	2444.05051
25.53836	2525.53836
34.42867	2634.42867
28.71299	2728.71299
31.67472	2831.67472
36.27567	2936.27567
30.57939	3030.57939
29.14131	3129.14131
34.80409	3234.80409
38.15917	3338.15917
30.5359	3430.5359
33.88855	3533.88855
34.74091	3634.74091
36.72371	3736.72371
31.70671	3831.70671
32.78941	3932.78941
29.60338	4029.60338
29.09288	4129.09288
33.15461	4233.15461
36.00493	4336.00493
34.76849	4434.76849
33.27075	4533.27075
26.04572	4626.04572
33.10007	4733.10007
29.66388	4829.66388
40.12269	4940.12269
36.55692	5036.55692
32.7797	5132.7797
36.22868	5236.22868
30.98735	5330.98735
33.33666	5433.33666
28.84273	5528.84273
32.19595	5632.19595
26.49316	5726.49316
38.84226	5838.84226
30.1692	5930.1692
28.34911	6028.34911
29.86883	6129.86883
19.46441	6219.46441
35.35877	6335.35877
39.75609	6439.75609
37.44214	6537.44214
35.68229	6635.68229
32.31379	6732.31379
28.33424	6828.33424
34.73724	6934.73724
28.47089	7028.47089
40.95402	7140.95402
28.9146	7228.9146
35.96547	7335.96547
24.99577	7424.99577
31.48228	7531.48228
26.30475	7626.30475
34.16568	7734.16568
27.86027	7827.86027
36.51318	7936.51318
29.13622	8029.13622
33.69075	8133.69075
31.04651	8231.04651
30.12587	8330.12587
40.45612	8440.45612
31.41572	8531.41572
35.1249	8635.1249
33.48212	8733.48212
34.23709	8834.23709
36.17271	8936.17271
47.46172	9047.46172
29.86571	9129.86571
24.72021	9224.72021
31.4731	9331.4731
32.92198	9432.92198
34.35993	9534.35993
35.25011	9635.25011
31.02704	9731.02704
33.08645	9833.08645
41.00441	9941.00441
37.37945	10037.37945
39.81409	10139.81409
33.95786	10233.95786
30.09041	10330.09041
36.23479	10436.23479
31.53373	10531.53373
29.01037	10629.01037
34.01139	10734.01139
31.86512	10831.86512
30.96085	10930.96085
35.35473	11035.35473
36.69219	11136.69219
28.95927	11228.95927
36.35445	11336.35445
33.54854	11433.54854
39.54772	11539.54772
31.92622	11631.92622
25.39726	11725.39726
34.66011	11834.66011
28.21828	11928.21828
31.39707	12031.39707
31.48974	12131.48974
35.60667	12235.60667
27.97765	12327.97765
34.22618	12434.22618
30.67621	12530.67621
35.48082	12635.48082
29.19337	12729.19337
35.82787	12835.82787
38.79312	12938.79312
32.75925	13032.75925
38.41486	13138.41486
26.35678	13226.35678
25.24684	13325.24684
43.5701	13443.5701
36.73392	13536.73392
32.36153	13632.36153
22.72981	13722.72981
38.23305	13838.23305
28.74906	13928.74906
34.51758	14034.51758
33.37219	14133.37219
35.16526	14235.16526
31.58203	14331.58203
32.74861	14432.74861
37.74053	14537.74053
38.89231	14638.89231
33.30038	14733.30038
27.85993	14827.85993
37.55837	14937.55837
36.65884	15036.65884
33.72683	15133.72683
36.01528	15236.01528
32.8923	15332.8923
42.13948	15442.13948
27.05518	15527.05518
28.80532	15628.80532
33.98047	15733.98047
28.70953	15828.70953
28.35108	15928.35108
26.55214	16026.55214
38.15577	16138.15577
34.11055	16234.11055
28.36989	16328.36989
33.38504	16433.38504
25.77191	16525.77191
30.5905	16630.5905
31.59967	16731.59967
34.473	16834.473
27.46824	16927.46824
39.05475	17039.05475
34.43603	17134.43603
25.47469	17225.47469
31.10044	17331.10044
25.93534	17425.93534
30.30354	17530.30354
30.89126	17630.89126
35.48121	17735.48121
27.40944	17827.40944
31.20286	17931.20286
28.61399	18028.61399
33.90231	18133.90231
26.83682	18226.83682
25.32092	18325.32092
32.3803	18432.3803
28.43063	18528.43063
23.04108	18623.04108
34.77935	18734.77935
34.61868	18834.61868
37.14039	18937.14039
34.29314	19034.29314
36.84052	19136.84052
21.92103	19221.92103
29.59475	19329.59475
29.76156	19429.76156
26.87474	19526.87474
31.91732	19631.91732
38.82574	19738.82574
33.2708	19833.2708
31.92478	19931.92478
32.17618	20032.17618
27.79931	20127.79931
27.86532	20227.86532
32.55636	20332.55636
32.33258	20432.33258
28.87188	20528.87188
24.25715	20624.25715
39.06761	20739.06761
29.06825	20829.06825
25.48853	20925.48853
27.01629	21027.01629
34.36138	21134.36138
34.91906	21234.91906
38.30344	21338.30344
33.11434	21433.11434
27.67584	21527.67584
38.91035	21638.91035
35.35971	21735.35971
28.38361	21828.38361
40.44529	21940.44529
31.53676	22031.53676
29.83775	22129.83775
44.1181	22244.1181
34.94052	22334.94052
33.04487	22433.04487
35.21659	22535.21659
26.26247	22626.26247
43.09164	22743.09164
31.90663	22831.90663
39.1948	22939.1948
32.698	23032.698
37.64032	23137.64032
31.54111	23231.54111
29.71824	23329.71824
27.25973	23427.25973
41.12758	23541.12758
42.02289	23642.02289
36.40526	23736.40526
31.01955	23831.01955
31.22945	23931.22945
25.19805	24025.19805
37.43283	24137.43283
36.48013	24236.48013
41.61435	24341.61435
27.42506	24427.42506
32.11171	24532.11171
33.4735	24633.4735
39.79952	24739.79952
33.29517	24833.29517
33.26171	24933.26171
30.43343	25030.43343
30.72907	25130.72907
23.32608	25223.32608
36.30955	25336.30955
22.05212	25422.05212
31.19958	25531.19958
29.14323	25629.14323
28.42144	25728.42144
28.30257	25828.30257
30.15037	25930.15037
30.88101	26030.88101
27.93866	26127.93866
35.93432	26235.93432
24.50737	26324.50737
26.55619	26426.55619
33.34842	26533.34842
38.1252	26638.1252
30.34328	26730.34328
28.77445	26828.77445
31.39085	26931.39085
31.99149	27031.99149
24.93496	27124.93496
28.71702	27228.71702
39.29812	27339.29812
39.72	27439.72
28.74918	27528.74918
36.5977	27636.5977
30.91131	27730.91131
34.22965	27834.22965
38.36996	27938.36996
32.42637	28032.42637
33.55319	28133.55319
38.80251	28238.80251
39.52484	28339.52484
24.86282	28424.86282
35.81912	28535.81912
32.00844	28632.00844
31.68419	28731.68419
36.04295	28836.04295
38.66106	28938.66106
32.01438	29032.01438
28.27665	29128.27665
31.33285	29231.33285
28.07889	29328.07889
30.73458	29430.73458
28.8948	29528.8948
27.77658	29627.77658
28.18151	29728.18151
28.46411	29828.46411
26.98246	29926.98246
30.09202	30030.09202
31.44664	30131.44664
32.15504	30232.15504
29.31796	30329.31796
31.26367	30431.26367
36.47795	30536.47795
36.9662	30636.9662
30.25443	30730.25443
35.15502	30835.15502
30.8998	30930.8998
35.53437	31035.53437
31.64485	31131.64485
29.39195	31229.39195
35.92497	31335.92497
41.85573	31441.85573
32.35631	31532.35631
25.99751	31625.99751
33.92421	31733.92421
31.97399	31831.97399
33.52201	31933.52201
30.14858	32030.14858
32.46498	32132.46498
34.61095	32234.61095
30.10125	32330.10125
36.90913	32436.90913
34.48839	32534.48839
35.62051	32635.62051
37.12714	32737.12714
31.29842	32831.29842
34.48694	32934.48694
32.22408	33032.22408
30.04576	33130.04576
36.41001	33236.41001
32.83454	33332.83454
31.21724	33431.21724
32.16116	33532.16116
30.88852	33630.88852
26.57015	33726.57015
30.06936	33830.06936
27.48403	33927.48403
32.9917	34032.9917
35.17243	34135.17243
34.63394	34234.63394
32.35704	34332.35704
29.11826	34429.11826
37.96055	34537.96055
30.94186	34630.94186
35.66621	34735.66621
39.71125	34839.71125
23.39344	34923.39344
31.78873	35031.78873
30.32383	35130.32383
41.58926	35241.58926
32.34805	35332.34805
34.54756	35434.54756
30.77212	35530.77212
33.4718	35633.4718
35.69799	35735.69799
21.56535	35821.56535
27.60598	35927.60598
38.80765	36038.80765
28.45891	36128.45891
32.67288	36232.67288
33.5072	36333.5072
31.33006	36431.33006
26.06247	36526.06247
27.06591	36627.06591
29.51784	36729.51784
31.26574	36831.26574
44.55798	36944.55798
34.72384	37034.72384
34.92299	37134.92299
27.91704	37227.91704
29.29498	37329.29498
27.02514	37427.02514
34.6819	37534.6819
27.38454	37627.38454
30.95225	37730.95225
29.78852	37829.78852
30.67547	37930.67547
32.60121	38032.60121
31.00516	38131.00516
32.91162	38232.91162
31.47039	38331.47039
35.02839	38435.02839
32.68552	38532.68552
35.57377	38635.57377
33.4771	38733.4771
35.14928	38835.14928
26.79555	38926.79555
34.49798	39034.49798
26.497	39126.497
32.1529	39232.1529
31.93654	39331.93654
32.71032	39432.71032
38.33125	39538.33125
41.71931	39641.71931
42.79116	39742.79116
35.07221	39835.07221
37.50277	39937.50277
34.645	40034.645
32.45732	40132.45732
41.13336	40241.13336
25.41684	40325.41684
34.18697	40434.18697
29.01909	40529.01909
39.6136	40639.6136
40.57748	40740.57748
32.50643	40832.50643
32.77329	40932.77329
33.43339	41033.43339
38.61813	41138.61813
27.76464	41227.76464
40.01992	41340.01992
37.42945	41437.42945
27.11154	41527.11154
37.26463	41637.26463
35.95013	41735.95013
28.08835	41828.08835
37.14994	41937.14994
27.75078	42027.75078
28.12197	42128.12197
29.67151	42229.67151
32.94456	42332.94456
28.71552	42428.71552
24.81116	42524.81116
43.97987	42643.97987
36.33218	42736.33218
38.00982	42838.00982
42.94918	42942.94918
34.0483	43034.0483
38.13861	43138.13861
27.22882	43227.22882
31.76644	43331.76644
36.29298	43436.29298
37.47768	43537.47768
33.80138	43633.80138
35.41318	43735.41318
32.40461	43832.40461
36.96379	43936.96379
34.60531	44034.60531
29.62529	44129.62529
34.41542	44234.41542
26.96313	44326.96313
28.84142	44428.84142
29.31008	44529.31008
32.07737	44632.07737
27.47176	44727.47176
24.19979	44824.19979
38.50565	44938.50565
30.29803	45030.29803
27.67056	45127.67056
29.93962	45229.93962
26.49796	45326.49796
33.46923	45433.46923
25.44214	45525.44214
28.58009	45628.58009
20.96243	45720.96243
41.64554	45841.64554
24.19437	45924.19437
34.65482	46034.65482
28.58429	46128.58429
27.24482	46227.24482
34.17311	46334.17311
36.1645	46436.1645
30.1975	46530.1975
34.87066	46634.87066
43.03463	46743.03463
32.04788	46832.04788
30.82069	46930.82069
28.93311	47028.93311
23.26155	47123.26155
34.59093	47234.59093
35.90019	47335.90019
30.6829	47430.6829
34.66668	47534.66668
30.65708	47630.65708
30.49719	47730.49719
35.46278	47835.46278
28.50837	47928.50837
27.92611	48027.92611
29.71002	48129.71002
30.64935	48230.64935
27.03927	48327.03927
34.09867	48434.09867
27.16497	48527.16497
39.6559	48639.6559
27.38926	48727.38926
26.8271	48826.8271
44.66557	48944.66557
25.35461	49025.35461
25.27435	49125.27435
37.70831	49237.70831
45.27135	49345.27135
36.60171	49436.60171
38.90412	49538.90412
39.27279	49639.27279
25.85614	49725.85614
26.80383	49826.80383
26.47312	49926.47312
39.16152	50039.16152
31.53134	50131.53134
34.00796	50234.00796
30.11701	50330.11701
30.16997	50430.16997
24.84682	50524.84682
33.01413	50633.01413
34.32717	50734.32717
30.48957	50830.48957
29.48962	50929.48962
32.20116	51032.20116
29.36406	51129.36406
36.72628	51236.72628
26.75121	51326.75121
33.93387	51433.93387
33.31434	51533.31434
29.6755	51629.6755
32.10087	51732.10087
36.27522	51836.27522
26.56936	51926.56936
28.40652	52028.40652
30.87308	52130.87308
31.95847	52231.95847
23.40954	52323.40954
27.204	52427.204
37.85721	52537.85721
31.28149	52631.28149
27.99439	52727.99439
22.14386	52822.14386
33.1316	52933.1316
28.44117	53028.44117
37.51264	53137.51264
29.98524	53229.98524
41.85605	53341.85605
27.97104	53427.97104
25.17402	53525.17402
33.44829	53633.44829
24.54614	53724.54614
30.28331	53830.28331
37.06349	53937.06349
26.25355	54026.25355
27.47071	54127.47071
41.05131	54241.05131
30.92423	54330.92423
24.99862	54424.99862
30.47842	54530.47842
37.85266	54637.85266
33.08499	54733.08499
27.03401	54827.03401
36.50427	54936.50427
34.21782	55034.21782
31.0405	55131.0405
26.6783	55226.6783
31.15251	55331.15251
32.87426	55432.87426
21.39447	55521.39447
33.21589	55633.21589
30.11394	55730.11394
38.19757	55838.19757
37.54572	55937.54572
20.14157	56020.14157
24.92236	56124.92236
32.73728	56232.73728
34.8204	56334.8204
29.28039	56429.28039
43.96923	56543.96923
34.76029	56634.76029
38.34909	56738.34909
30.14877	56830.14877
35.83009	56935.83009
31.65801	57031.65801
27.45182	57127.45182
29.76615	57229.76615
26.67922	57326.67922
36.32905	57436.32905
22.15309	57522.15309
27.12543	57627.12543
29.91974	57729.91974
25.35038	57825.35038
33.00189	57933.00189
37.96985	58037.96985
38.2916	58138.2916
34.98816	58234.98816
36.29382	58336.29382
28.98653	58428.98653
33.77373	58533.77373
35.16544	58635.16544
29.10332	58729.10332
32.94694	58832.94694
31.5564	58931.5564
32.01405	59032.01405
40.99553	59140.99553
34.32952	59234.32952
33.73165	59333.73165
32.68954	59432.68954
32.09044	59532.09044
34.18594	59634.18594
33.06083	59733.06083
26.90563	59826.90563
29.7493	59929.7493
29.53868	60029.53868
29.83409	60129.83409
34.75821	60234.75821
32.0574	60332.0574
28.62049	60428.62049
34.66188	60534.66188
29.1602	60629.1602
33.17112	60733.17112
28.81095	60828.81095
30.33249	60930.33249
30.77479	61030.77479
32.80257	61132.80257
25.11757	61225.11757
28.7672	61328.7672
34.77911	61434.77911
46.81735	61546.81735
28.46174	61628.46174
38.15614	61738.15614
39.24038	61839.24038
26.39787	61926.39787
30.84801	62030.84801
27.16963	62127.16963
26.36735	62226.36735
34.49245	62334.49245
39.65384	62439.65384
33.44749	62533.44749
25.87473	62625.87473
35.12176	62735.12176
32.36015	62832.36015
35.71845	62935.71845
31.93927	63031.93927
29.54856	63129.54856
33.20407	63233.20407
26.92366	63326.92366
24.78328	63424.78328
36.51276	63536.51276
38.28557	63638.28557
31.39288	63731.39288
30.24726	63830.24726
28.0033	63928.0033
38.15215	64038.15215
28.37342	64128.37342
26.28438	64226.28438
31.12366	64331.12366
31.64504	64431.64504
33.20481	64533.20481
34.87442	64634.87442
35.50656	64735.50656
24.27108	64824.27108
33.37762	64933.37762
33.39168	65033.39168
28.25696	65128.25696
31.46795	65231.46795
29.87708	65329.87708
34.99825	65434.99825
34.31571	65534.31571
28.42585	65628.42585
31.59333	65731.59333
31.88006	65831.88006
38.3293	65938.3293
29.76608	66029.76608
39.14238	66139.14238
29.05633	66229.05633
38.82134	66338.82134
31.9652	66431.9652
32.29793	66532.29793
29.6735	66629.6735
34.62642	66734.62642
26.862	66826.862
30.15745	66930.15745
30.99267	67030.99267
26.2712	67126.2712
25.88034	67225.88034
29.91314	67329.91314
24.31812	67424.31812
34.80949	67534.80949
24.63459	67624.63459
27.96539	67727.96539
33.8323	67833.8323
39.30169	67939.30169
40.26795	68040.26795
28.51929	68128.51929
38.05987	68238.05987
44.00513	68344.00513
