Queuing Time	Time/Label
0	29.14398
4.18712	29.14398
0	140.47159
15.0864	140.47159
0	223.31962
0.27103	223.31962
0	330.01813
8.08132	330.01813
0	432.61904
9.59193	432.61904
0	535.11
11.81434	535.11
0	627.7358
8.08559	627.7358
0	735.07238
11.56975	735.07238
0	829.47201
1.97225	829.47201
0	929.3039
3.93578	929.3039
0	1031.9056
8.26696	1031.9056
0	1141.44876
19.46721	1141.44876
0	1233.08687
11.74382	1233.08687
0	1323.64289
0.76182	1323.64289
0	1432.01734
6.92629	1432.01734
0	1536.54676
14.36866	1536.54676
0	1631.85862
7.3528	1631.85862
0	1732.72012
11.46351	1732.72012
0	1836.42902
6.01694	1836.42902
0	1931.02752
9.69351	1931.02752
0	2033.63948
2.98424	2033.63948
0	2131.24168
9.28428	2131.24168
0	2233.2676
1.08579	2233.2676
0	2328.27697
3.98803	2328.27697
0	2444.05051
19.11671	2444.05051
0	2525.53836
1.34909	2525.53836
0	2634.42867
13.08744	2634.42867
0	2728.71299
5.20817	2728.71299
0	2831.67472
7.15992	2831.67472
0	2936.27567
9.53729	2936.27567
0	3030.57939
6.21564	3030.57939
0	3129.14131
7.59776	3129.14131
0	3234.80409
11.81516	3234.80409
0	3338.15917
13.37504	3338.15917
0	3430.5359
7.46725	3430.5359
0	3533.88855
11.03422	3533.88855
0	3634.74091
12.42639	3634.74091
0	3736.72371
2.39847	3736.72371
0	3831.70671
6.83518	3831.70671
0	3932.78941
5.23238	3932.78941
0	4029.60338
8.70152	4029.60338
0	4129.09288
5.59125	4129.09288
0	4233.15461
9.71926	4233.15461
0	4336.00493
13.63888	4336.00493
0	4434.76849
11.49004	4434.76849
0	4533.27075
11.68771	4533.27075
0	4626.04572
0.48642	4626.04572
0	4733.10007
7.95205	4733.10007
0	4829.66388
5.09977	4829.66388
0	4940.12269
15.49461	4940.12269
0	5036.55692
8.70021	5036.55692
0	5132.7797
7.41132	5132.7797
0	5236.22868
8.56565	5236.22868
0	5330.98735
5.87525	5330.98735
0	5433.33666
11.9843	5433.33666
0	5528.84273
5.17377	5528.84273
0	5632.19595
9.71403	5632.19595
0	5726.49316
8.172	5726.49316
0	5838.84226
11.50303	5838.84226
0	5930.1692
5.60111	5930.1692
0	6028.34911
10.01273	6028.34911
0	6129.86883
8.91625	6129.86883
0	6219.46441
1.96956	6219.46441
0	6335.35877
14.98819	6335.35877
0	6439.75609
9.47697	6439.75609
0	6537.44214
11.91144	6537.44214
0	6635.68229
6.47408	6635.68229
0	6732.31379
7.45034	6732.31379
0	6828.33424
1.08461	6828.33424
0	6934.73724
14.75604	6934.73724
0	7028.47089
7.53021	7028.47089
0	7140.95402
11.98906	7140.95402
0	7228.9146
2.77622	7228.9146
0	7335.96547
9.26946	7335.96547
0	7424.99577
2.60646	7424.99577
0	7531.48228
8.95751	7531.48228
0	7626.30475
2.26757	7626.30475
0	7734.16568
10.25315	7734.16568
0	7827.86027
6.92868	7827.86027
0	7936.51318
14.67879	7936.51318
0	8029.13622
7.70034	8029.13622
0	8133.69075
11.50286	8133.69075
0	8231.04651
10.19827	8231.04651
0	8330.12587
5.37691	8330.12587
0	8440.45612
15.2409	8440.45612
0	8531.41572
5.4582	8531.41572
0	8635.1249
12.42003	8635.1249
0	8733.48212
